target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,protein_classes,tractability_tier,suggested_modality,is_druggable,sm_clinical,sm_ligand,sm_pocket,sm_druggable_family,ab_clinical,ab_surface,n_drugs,drug_stages
CFAP418,ENSG00000156172,brake_agonize,Stim8hr,6.5552015,0.0,none,,,unknown,undetermined,False,,,,,,,,
CFAP68,ENSG00000137720,brake_agonize,Stim48hr,3.221771,0.0,none,,,unknown,undetermined,False,,,,,,,,
CHCHD5,ENSG00000125611,driver_antagonize,Rest,3.0491579,0.3256957166784741,moderate,,,unknown,undetermined,False,,,,,,,,
CHCHD6,ENSG00000159685,driver_antagonize,Stim8hr,3.3103845,0.5012375106543563,strong,,,unknown,undetermined,False,,,,,,,,
CHD2,ENSG00000173575,brake_agonize,Stim8hr,4.0214357,0.0,none,,,unknown,undetermined,False,,,,,,,,
CHMP4B,ENSG00000101421,brake_agonize,Stim48hr,3.4419246,0.0,none,,,unknown,undetermined,False,,,,,,,,
CHUK,ENSG00000213341,driver_antagonize,Stim48hr,3.203712,0.1656852450192223,weak,kinase,kinase,class_tractable_sm,small molecule,True,,,,,,,,
CIAO1,ENSG00000144021,driver_antagonize,Stim48hr,3.2541373,0.0,none,,,unknown,undetermined,False,,,,,,,,
CIITA,ENSG00000179583,driver_antagonize,Stim48hr,3.1717162,0.760359863629946,strong,catalytic_receptor,catalytic_receptor,class_tractable_sm,antibody/biologic (surface),True,,,,,,,,
CIRBP,ENSG00000099622,driver_antagonize,Stim8hr,3.2980072,0.0,none,,,unknown,undetermined,False,,,,,,,,
CISD1,ENSG00000122873,driver_antagonize,Stim48hr,3.3187034,0.401981736419665,moderate,,,unknown,undetermined,False,,,,,,,,
CIT,ENSG00000122966,driver_antagonize,Stim48hr,4.878524,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
CITED4,ENSG00000179862,driver_antagonize,Stim8hr,2.8946505,0.0,none,,,unknown,undetermined,False,,,,,,,,
